Fields,Mapping,Notes
Collection,dc.identifier (other),Already exists in Cumulus
Date Created,dc.date (created),Already exists in Cumulus
Rights Holder,dc.rightsHolder,Already exists in Cumulus
Title,dc.title,Already exists in Cumulus
Creator,dc.creator,Already exists in Cumulus
Physical Format - was original format,dc.format,Already exists in Cumulus
Geographic Location (was Coverage Geographic),dc.coverage (spatial),Already exists in Cumulus
Subject,dc.subject,Already exists in Cumulus
Asset Creation Date,dc.date (created),Already exists in Cumulus
ID,dc.identifier,Already exists in Cumulus
Description,dc.description,Already exists in Cumulus
Taxon,dc.subject (other),New field
Common Name,dc.subject,New field
Family Name,dc.subject (other),New field
Internal Notes,N/A - staff administrative information,New field
Container Information,N/A - staff administrative information,New field
Physical Location,N/A - staff administrative information,New field
