Creator, original text,repaired text,repaired date,,
Creator, 5/7/2001,,5/7/01 0:00,,
Creator, 9/11/1964,,9/11/64 0:00,,
Creator,   1975/76,,1/1/75,,
Creator, 4/22/1925,,4/22/25 0:00,,
Creator,  R.J. Van Syoc aboard Mistral II 15 May 1994,R.J. Van Syoc,5/15/94 0:00,,
Creator,  R. Van Syoc 02 Jun 1998,R.J. Van Syoc,6/2/98 0:00,,
Creator,  R. Van Syoc 17 Jun 1988,R.J. Van Syoc,6/17/88 0:00,,
Creator,  R. Van Syoc 5 Jun 1988,R.J. Van Syoc,6/5/88 0:00,,
Creator,  R. Van Syoc 7 Jun 1988,R.J. Van Syoc,6/7/88 0:00,,
Creator,  R. Van Syoc 9 Jun 1988,R.J. Van Syoc,6/9/88 0:00,,
Creator,  R. Van Syoc  A.J. Ferreira 21 Jul 1985,"R.J. Van Syoc, A.J. Ferreira",7/21/85 0:00,,
Creator,  R. Van Syoc et al.,R.J. Van Syoc,3-Aug-85,,
Creator,  T.M. Gosliner 01 Jun 1998,T.M. Gosliner,6/1/98 0:00,,
Creator,  T.M. Gosliner 01 Mar 1995,T.M. Gosliner,3/1/95 0:00,,
Creator,  T.M. Gosliner 06 May 2001,T.M. Gosliner,5/6/01 0:00,,
Creator,  T.M. Gosliner 07 Jun 1998,T.M. Gosliner,6/7/98 0:00,,
Creator,  T.M. Gosliner 10 Jan 1988,T.M. Gosliner,1/10/88 0:00,,
Creator,  T.M. Gosliner 10 Nov 1990,T.M. Gosliner,11/10/90 0:00,,
Creator,  T.M. Gosliner 10 Nov 1994,T.M. Gosliner,11/10/94 0:00,,
Creator,  T. M. Gosliner 10 Sep 1991,T.M. Gosliner,9/10/91 0:00,,
Creator,  T.M. Gosliner 11 Nov 1990,T.M. Gosliner,11/11/90 0:00,,
Creator,  T. M. Gosliner 11 Sep 1991,T.M. Gosliner,9/11/91 0:00,,
Creator,  T.M. Gosliner 12 Feb 1988,T.M. Gosliner,2/12/88 0:00,,
Creator,  T. M. Gosliner 12 Sep 1991,T.M. Gosliner,9/12/91 0:00,,
Creator,  T.M. Gosliner 13 Apr 1993,T.M. Gosliner,4/13/93 0:00,,
Creator,  T.M. Gosliner 13 Jun 1992,T.M. Gosliner,6/13/92 0:00,,
Creator,  T.M. Gosliner 13 Mar 1986,T.M. Gosliner,3/13/86 0:00,,
Creator,  T.M. Gosliner 13 Nov 1990,T.M. Gosliner,11/13/90 0:00,,
Creator,  T. M. Gosliner 13 Sep 1991,T.M. Gosliner,9/13/91 0:00,,
Creator,  T.M. Gosliner 14 Jun 1992,T.M. Gosliner,6/14/92 0:00,,
Creator,  T.M. Gosliner 15 Apr 1989,T.M. Gosliner,4/15/89 0:00,,
Creator,  T.M. Gosliner 15 Apr 1993,T.M. Gosliner,4/15/93 0:00,,
Creator,  T.M. Gosliner 15 Apr 1996,T.M. Gosliner,4/15/96 0:00,,
Creator,  T.M. Gosliner 15 Jun 1992,T.M. Gosliner,6/15/92 0:00,,
Creator,  T.M. Gosliner 16 Apr 1996,T.M. Gosliner,4/16/96 0:00,,
Creator,  T.M. Gosliner 16 Jul 1989,T.M. Gosliner,7/16/89 0:00,,
Creator,  T.M. Gosliner 16 Jun 1992,T.M. Gosliner,6/16/92 0:00,,
Creator,  T.M. Gosliner 17 Apr 1996,T.M. Gosliner,4/17/96 0:00,,
Creator,  T.M. Gosliner 17 Feb 1992,T.M. Gosliner,2/17/92 0:00,,
Creator,  T. M. Gosliner 17 Jul 1991,T.M. Gosliner,7/17/91 0:00,,
Creator,  T.M. Gosliner 18 Feb 1992,T.M. Gosliner,2/18/92 0:00,,
Creator,  T.M. Gosliner 18 Jul 1989,T.M. Gosliner,7/18/89 0:00,,
Creator,  T. M. Gosliner 18 Jul 1991,T.M. Gosliner,7/18/91 0:00,,
Creator,  T.M. Gosliner 18 Mar 1986,T.M. Gosliner,3/18/86 0:00,,
Creator,  T.M. Gosliner 19 Feb 1992,T.M. Gosliner,2/19/92 0:00,,
Creator,  T.  M. Gosliner 19 Jul 1989,T.M. Gosliner,7/19/89 0:00,,
Creator,  T. M. Gosliner 19 Jul 1991,T.M. Gosliner,7/19/91 0:00,,
Creator,  T.M. Gosliner 1 Feb 1988,T.M. Gosliner,2/1/88 0:00,,
Creator,  T.M. Gosliner 1 Nov 1994,T.M. Gosliner,11/1/94 0:00,,
Creator,  T.M. Gosliner 20 Apr 1993,T.M. Gosliner,4/20/93 0:00,,
Creator,  T.M. Gosliner 20 Feb 1992,T.M. Gosliner,2/20/92 0:00,,
Creator,  T.M. Gosliner 20 Jul 1989,T.M. Gosliner,7/20/89 0:00,,
Creator,  T.M. Gosliner 20 Nov 1990,T.M. Gosliner,11/20/90 0:00,,
Creator,  T.M. Gosliner 21 Feb 1992,T.M. Gosliner,2/21/92 0:00,,
Creator,  T.M. Gosliner 21 Jan 1988,T.M. Gosliner,1/21/88 0:00,,
Creator,  T.M. Gosliner 21 Jul 1989,T.M. Gosliner,7/21/89 0:00,,
Creator,  T.M. Gosliner 21 Mar 1986,T.M. Gosliner,3/21/86 0:00,,
Creator,  T.M. Gosliner 21 Mar 1994,T.M. Gosliner,3/21/94 0:00,,
Creator,  T.M. Gosliner 22 Feb 1992,T.M. Gosliner,2/22/92 0:00,,
Creator,  T.M. Gosliner 22 Jan 1988,T.M. Gosliner,1/22/88 0:00,,
Creator,  T.M. Gosliner 22 Mar 1986,T.M. Gosliner,3/22/86 0:00,,
Creator,  T.M. Gosliner 23 Feb 1992,T.M. Gosliner,2/23/92 0:00,,
Creator,  T.M. Gosliner 23 Mar 1986,T.M. Gosliner,3/23/86 0:00,,
Creator,  T.M. Gosliner 24 Apr 1996,T.M. Gosliner,4/24/96 0:00,,
Creator,  T.M. Gosliner 24 Feb 1992,T.M. Gosliner,2/24/92 0:00,,
Creator,  T.M. Gosliner 24 Jan 1988,T.M. Gosliner,1/24/88 0:00,,
Creator,  T.M. Gosliner 24 Jul 1991,T.M. Gosliner,7/24/91 0:00,,
Creator,  T.M. Gosliner 24 Mar 1993,T.M. Gosliner,3/24/93 0:00,,
Creator,  T.M. Gosliner 25 Apr 1996,T.M. Gosliner,4/25/96 0:00,,
Creator,  T.M. Gosliner 25 Feb 1992,T.M. Gosliner,2/25/92 0:00,,
Creator,  T.M. Gosliner 25 Feb 1995,T.M. Gosliner,2/25/95 0:00,,
Creator,  T.M. Gosliner 25 Jul 1989,T.M. Gosliner,7/25/89 0:00,,
Creator,  T.M. Gosliner 25 Mar 1993,T.M. Gosliner,3/25/93 0:00,,
Creator,  T.M. Gosliner 25 Nov. 1990,T.M. Gosliner,11/25/90 0:00,,
Creator,  T.M. Gosliner 25 Oct 2000,T.M. Gosliner,10/25/00 0:00,,
Creator,  T.M. Gosliner 26 Feb 1992,T.M. Gosliner,2/26/92 0:00,,
Creator,  T.M. Gosliner 26 Jul 1989,T.M. Gosliner,7/26/89 0:00,,
Creator,  T. M. Gosliner 26 Jul 1991,T.M. Gosliner,7/26/91 0:00,,
Creator,  T.M. Gosliner 26 Mar 1993,T.M. Gosliner,3/26/93 0:00,,
Creator,  T. M. Gosliner 27 Jul 1991,T.M. Gosliner,7/27/91 0:00,,
Creator,  T.M. Gosliner 27 Mar 1993,T.M. Gosliner,3/27/93 0:00,,
Creator,  T.M. Gosliner 27 Oct 1994,T.M. Gosliner,10/27/94 0:00,,
Creator,  T.M. Gosliner 28 Jan 1988,T.M. Gosliner,1/28/88 0:00,,
Creator,  T.M. Gosliner 28 Jul 1989,T.M. Gosliner,7/28/89 0:00,,
Creator,  T.M. Gosliner 28 May 1998,T.M. Gosliner,5/28/98 0:00,,
Creator,  T.M. Gosliner 29 Jul 1989,T.M. Gosliner,7/29/89 0:00,,
Creator,  T.M. Gosliner 29 Mar 1993,T.M. Gosliner,3/29/93 0:00,,
Creator,  T.M. Gosliner 29 Nov 1990,T.M. Gosliner,11/29/90 0:00,,
Creator,  T.M. Gosliner 29 Oct 2000,T.M. Gosliner,10/29/00 0:00,,
Creator,  T.M. Gosliner 2 Nov 1994,T.M. Gosliner,11/2/94 0:00,,
Creator,  T.M. Gosliner 30 Jul 1989,T.M. Gosliner,7/30/89 0:00,,
Creator,  T.M. Gosliner 30 May 1993,T.M. Gosliner,5/30/93 0:00,,
Creator,  T.M. Gosliner 31 May 1993,T.M. Gosliner,5/31/93 0:00,,
Creator,  T.M. Gosliner 3 Feb 1988,T.M. Gosliner,2/3/88 0:00,,
Creator,  T.M. Gosliner 3 Mar 1993,T.M. Gosliner,3/3/93 0:00,,
Creator,  T.M. Gosliner 3 Nov 1994,T.M. Gosliner,11/3/94 0:00,,
Creator,  T.M. Gosliner 4 Apr 1990,T.M. Gosliner,4/4/90 0:00,,
Creator,  T.M. Gosliner 4 Jun 1992,T.M. Gosliner,6/4/92 0:00,,
Creator,  T.M. Gosliner 5 Feb 1988,T.M. Gosliner,2/5/88 0:00,,
Creator,  T.M. Gosliner 5 Nov 1990,T.M. Gosliner,11/5/90 0:00,,
Creator,  T.M. Gosliner 6 Jun 1992,T.M. Gosliner,6/6/92 0:00,,
Creator,  T. M. Gosliner 6 Sep 1991,T.M. Gosliner,9/6/91 0:00,,
Creator,  T. M. Gosliner 7 Feb 1986,T.M. Gosliner,2/7/86 0:00,,
Creator,  T.M. Gosliner 7 Jun 1992,T.M. Gosliner,6/7/92 0:00,,
Creator,  T.M. Gosliner 7 Sep 1991,T.M. Gosliner,9/7/91 0:00,,
Creator,  T.M. Gosliner 8 Feb 1988,T.M. Gosliner,2/8/88 0:00,,
Creator,  T.M. Gosliner 8 Jun 1992,T.M. Gosliner,6/8/92 0:00,,
Creator,  T.M. Gosliner 8 Nov 1994,T.M. Gosliner,11/8/94 0:00,,
Creator,  T. M. Gosliner 8 Sep 1991,T.M. Gosliner,9/8/91 0:00,,
Creator,  T.M. Gosliner 9 Apr 1989,T.M. Gosliner,4/9/89 0:00,,
Creator,  T.M. Gosliner 9 Jun 1992,T.M. Gosliner,6/9/92 0:00,,
Creator,  T.M. Gosliner 9 Nov 1990,T.M. Gosliner,11/9/90 0:00,,
Creator,  T.M. Gosliner 9 Nov 1994,T.M. Gosliner,11/9/94 0:00,,
Creator,  T. M. Gosliner 9 Sep 1991,T.M. Gosliner,9/9/91 0:00,,
Creator,  T.M. Gosliner aboard Mistral II 12 May 1994,T.M. Gosliner,5/12/94 0:00,,
Creator,  T.M. Gosliner aboard Mistral II 13 May 1994,T.M. Gosliner,5/13/94 0:00,,
Creator,  T.M. Gosliner aboard Mistral II 14 May 1994,T.M. Gosliner,5/14/94 0:00,,
Creator,  T.M. Gosliner and G.C. Williams 24 Nov 1990,"T.M. Gosliner, G.C. Williams",11/24/90 0:00,,
Creator,  T.M. Gosliner and G.C. Williams 24 Nov. 1990,"T.M. Gosliner, G.C. Williams",11/24/90 0:00,,
Creator,  T.M. Gosliner and M. Miller 17 Mar 1994,"T.M. Gosliner, M. Miller",3/17/94 0:00,,
Creator,  T.M. Gosliner  J. Mizeu 10 Nov 1990,"T.M. Gosliner, J. Mizeu",11/10/90 0:00,,
Creator,  T.M. Gosliner  M. Jebb 7 Nov 1990,"T.M. Gosliner, M. Jebb",11/7/90 0:00,,
Creator,  T.M. Gosliner,T.M. Gosliner,24-Feb-92,,
Creator,  T.M. Gosliner on R/V Baja Explorador 5 Dec 1988,T.M. Gosliner,12/5/88 0:00,,
Creator,  T.M. Gosliner on R/V Baja Explorador 9 Dec 1988,T.M. Gosliner,12/9/88 0:00,,
Creator,  T.M. Gosliner,T.M. Gosliner,18-Feb-88,,
Creator,  T.M. Gosliner  W. Bolz 24 Jul 1991,"T.M. Gosliner, W. Bolz",7/24/91 0:00,,
Creator,  T. M. Gosliner  W. Bolz 28 Jul 1991,"T.M. Gosliner, W. Bolz",7/28/91 0:00,,
Creator,  T.M.  M.T. Gosliner 31 Jul 1989,T.M. Gosliner,7/31/89 0:00,,
Creator,  Y. Camacho 08 May 2001,Y. Camacho,5/8/01 0:00,,
