Field,Bad,Good
Coverage Geographic,"""Andapa, Madagascar""","Andapa, Madagascar"
Coverage Geographic,"""Andohahela, Madagascar""","Andohahela, Madagascar"
Coverage Geographic,"""Andralaka, Madagascar""","Andralaka, Madagascar"
Coverage Geographic,"""Andranabe, Madagascar""","Andranabe, Madagascar"
Coverage Geographic,"""Andringitra, Madagascar""","Andringitra, Madagascar"
Coverage Geographic,"""Anjanaharibe, Madagascar""","Anjanaharibe-Sud Reserve, Madagascar"
Coverage Geographic,"""Berenty Reserve,Madagascar""","Berenty Reserve, Madagascar"
Coverage Geographic,"""Cape St. Marie, Madagascar""","Cape Sainte Marie, Madagascar"
Coverage Geographic,"""Kirindy Swiss Forest, Madagascar""",Kirindy Forest Morondava Madagascar
Coverage Geographic,"""Manamgarico, Madagascar""","Manamgarico, Madagascar"
Coverage Geographic,"""Masoala, Madagascar""","Masoala, Madagascar"
Coverage Geographic,"""Parama, Madagascar""","Parama, Madagascar"
Coverage Geographic,", Madagascar",Madagascar
Coverage Geographic,"above Santo Tomas settlement, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos (Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos Islands","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos Islands. (Now named Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos Islands. (Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos.","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Academy Bay, Indefatigable Island, Galapagos. (Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Acalpulco,"Acapulco, Mexico"
Coverage Geographic,Acapulco (Mexico),"Acapulco, Mexico"
Coverage Geographic,Adamana (Ariz.),"Adamana, Arizona"
Coverage Geographic,Africa,Africa
Coverage Geographic,"Africa, Mozambique","Africa, Mozambique"
Coverage Geographic,"Aitutaki, Cook Islands. Cook Islands. South Pacific Ocean","Aitutaki, Cook Islands, South Pacific Ocean"
Coverage Geographic,Alaska,Alaska
Coverage Geographic,"Albemarle Island (Isabela), Galapagos","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle Island, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle Island, Galapagos Islands. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle Island, near settlement of Villamiel, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle Island, top of Villamil Mountain","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle Island, top of Villamil Mountain. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albemarle, Galapagos. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Albermarle Island, Galapagos","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Alcatraz Island (Calif.),"Alcatraz Island, California"
Coverage Geographic,"Aldabra, Seychelles, Africa","Aldabra, Seychelles"
Coverage Geographic,"Algeciras, Spain","Algeciras, Spain"
Coverage Geographic,"Algeria, Africa","Algeria, Africa"
Coverage Geographic,Amazon,Amazon
Coverage Geographic,"Ambalavao, Madagascar","Ambalavao, Madagascar"
Coverage Geographic,"Ambalavao, south of, Madagascar","Ambalavao, Madagascar"
Coverage Geographic,"Ambila Lemaitso, Madagascar","Ambila Lemaitso, Madagascar"
Coverage Geographic,"Ambohimahasoa, just north of, between Ambositra and Ranomafana, Madagascar","Ambohimahasoa, Madagascar"
Coverage Geographic,"Amboimandosoo, Madagascar","Amboimandosoo, Madagascar"
Coverage Geographic,"Amboimanga, Madagascar","Ambohimanga, Madagascar"
Coverage Geographic,"Ambondro, road to, Madagascar","Ambondro, Madagascar"
Coverage Geographic,"Ambositra, Madagascar","Ambositra, Madagascar"
Coverage Geographic,"American River, California","American River, California"
Coverage Geographic,"Ampasipohy, Nosy Be, Madagascar","Ampasipohy, Madagascar"
Coverage Geographic,"Andilano Beach, near, Nosy Be, Madagascar","Andilana Beach, Madagascar"
Coverage Geographic,"Andohaela Reserve #11, road to Berenty, Madagascar","Andohahela Reserve, Madagascar"
Coverage Geographic,"Andohahela Reserve #11, near, road to Berenty Reserve, Madagascar","Andohahela Reserve, Madagascar"
