"id","dc.subject[]"
"73e57916-b892-482e-b52f-b82cf4997f13","Architectural details||Buildings"
"788a0ffa-d95f-49b3-9d81-d670627e39b9","Buildings||Portraits"
"38f95f1b-6632-4946-bccf-e2e4526a4324","Architectural details||Buildings||Churches"
"2e24c2e8-eb01-4fba-b1b2-85d4e7fb1a67","Architectural details||Buildings"
"2208900d-d6b2-4aed-a2fa-689fdb7a4f9c","Architectural details||Buildings"
"f62e998d-9e0c-4cda-a09a-0e335ef319f8","Architectural details||Buildings"
"ae223fad-54f0-4fdf-a401-3b496a85f19a","Buildings||Churches"
"a8408c51-b65b-48fa-866f-5444705bc5df","Bridges||Buildings"
"11aa3fe6-41cf-4b1c-8da7-9a206514ffd7","Bridges||Buildings"
"62bdcd9b-9aee-4d0c-afd7-da67982cce71","Bridges||Buildings"
"ce5720c5-6831-444e-99fe-608c258dd6bc","Buildings||Dwellings"
"a0668a5e-7626-4b7d-be26-4e6cf2c8df0e","Buildings"
"c30bdfe9-60b7-4aba-ba1a-354c03a176e2","Buildings||Hospitals"
"177d6e14-80e2-4cab-aef7-9e3b81269a9f","Architectural details||Buildings||Hospitals"
"cc840c9c-bbbb-4751-bbaa-a45c08b7bebd","Architectural details||Buildings||Hospitals"
"3cd427f9-ed1e-40b2-9930-dea44f782b58","Architectural details||Buildings||Churches"
"45980c8d-15a8-4aaa-98f9-120dc9f9baba","Architectural details||Buildings||Churches"
"a0526114-0141-4380-a3bd-8a0dbafe135b","Buildings||Gardens||Landscapes"
"989485a0-451b-41af-ab1e-5ff90f3ffd06","Buildings"
"277bc36c-5fa8-40af-8ac2-a37dfc9a23de","Buildings||Churches"
"4bc22c1d-b490-4271-87d3-464556bf0f13","Anthropology||Buildings||Dwellings"
"8c5b2a56-2ac2-4e50-b69d-54bf552b3e97","Buildings"
"640cafa0-00d4-4c7d-a511-d35df1b53d21","Buildings||Churches"
"294392e8-5ebe-40f5-8dfb-63c88e790988","Buildings"
"6638e656-2da2-4f3d-b95e-1c27e394c07b","Buildings"
"63243fb6-c8a1-4118-b051-4777ec5f299e","Buildings"
"0be43cf4-3893-47fa-b98d-9e59cd761099","Buildings||Donkeys||Water supply"
"03e009b5-166a-4b46-9a1a-2029bfc95989","Architectural details||Buildings||Portraits||Water supply"
"6545823f-3270-48ef-921f-656cbe737472","Landscape"
"1f198627-4a94-437e-b3ae-0d69e9d7eeb6","Buildings"
"7edee904-4f18-48f5-9077-70d9093777da","Buildings||Donkeys"
"5816e503-5f84-4dbc-93bc-9b37e0ffd92f","Buildings"
"a59618f0-4c63-4881-a4bb-96dcc5a24e82","Portraits||Water supply"
"c992d3b8-88a3-43c2-89f3-39e04d448359","Buildings||Carriages and carts"
"792774ec-467f-44ce-8d13-975d5ef675db","Buildings||Donkeys"
"6064ea72-664e-41e2-a636-026ab94d8ac2","Carriages and carts||Water supply"
"61ae5f26-8124-4171-98b4-6acea700eb8c","Donkeys"
"3bd60353-bb8f-464f-91a1-35ca8ac67c89","Buildings||Donkeys||Herding"
"8ac746b3-d7bd-410a-9513-db1e45eb5c52","Herding"
"f9f02cd3-ecde-48e6-acbb-746685a0ca73","Buildings||Water supply"
"003f4511-55ac-44cd-ad24-22e018596e95","Buildings||Donkeys||Portraits"
"fe018857-3ca9-4e00-9982-bf069360cab5","Buildings||Stores"
"e0d3a830-c643-47b7-b063-af7e54a8b1c7","Dogs||Donkeys||Water supply"
"a52ddd55-c40f-4fe3-b9d9-7818bb748cd6","Buildings||Galapagos Expedition, 1905-1906||Military Installations||Portraits"
"7b376053-1fa8-4a61-93cb-621424e9adca","Donkeys||Water supply"
"d30dfbec-dd30-4ed8-8933-6b44a3fcff26","Donkeys||Water supply"
